# Redshift peak_mF106
2.1371 27.4978
0.6762 23.8549
1.7509 25.4342
1.3187 25.0046
1.2393 24.3453
0.5727 23.2591
0.4008 22.2883
2.6862 28.2449
2.0086 26.7420
1.3952 25.1326
2.9226 28.2179
0.6702 23.3636
1.3791 25.2906
2.2165 27.5350
0.9116 24.4021
2.6205 28.6310
1.8847 25.7543
0.5375 23.3441
1.8244 25.9448
1.3471 25.0924
1.7448 25.4277
0.1720 21.7274
1.2466 24.5495
0.8786 23.9942
0.1419 21.9617
1.2495 24.9790
1.1304 23.9720
1.3552 24.2341
0.5198 22.6407
1.6106 25.5714
0.7968 24.1052
0.6630 23.3379
0.8303 23.7580
1.6799 25.3947
1.1976 25.1944
1.1314 24.7171
0.6801 23.8159
2.0386 25.7798
0.9765 24.2164
0.8720 23.5439
1.0120 24.5554
0.7481 23.4830
1.2072 24.6337
0.6291 23.3824
1.4007 24.5468
2.3127 26.6463
2.4326 28.1165
2.1441 26.1372
1.6961 25.3218
2.2802 27.4383
2.1705 26.4861
1.4156 25.2883
1.8645 25.0958
1.2149 24.3956
1.4833 24.5059
1.4204 24.7264
1.9892 25.2805
1.3273 24.6954
0.7037 23.4139
1.0801 24.5160
1.4243 25.1379
1.6434 25.2434
1.2614 23.6705
1.0967 24.7704
1.1774 24.1556
1.4430 24.9022
1.8245 25.2411
1.5790 24.4621
1.1455 24.2756
1.2027 24.1323
1.3508 24.2569
1.0218 23.6951
2.4472 27.9583
1.3273 24.2736
1.8270 25.9268
1.9051 25.5085
1.5688 25.3926
2.8771 28.1434
1.7807 25.0883
1.5404 24.9182
1.4197 25.0053
2.9534 28.8861
2.4059 27.1471
1.1102 24.5896
0.8200 23.7946
1.6582 25.1176
1.2397 24.8252
1.1968 24.8820
2.9692 28.0962
1.8890 25.4655
1.8863 26.2664
0.9007 23.9016
1.8624 25.6136
0.9542 24.3265
2.6569 28.3177
1.5005 25.2197
0.9321 23.9590
0.8421 23.8587
1.8654 25.8657
0.8780 24.2341
1.7228 25.6278
1.4281 24.4062
2.9137 29.7222
0.7487 23.6510
2.7497 27.5138
2.8737 29.1324
2.2242 26.9721
2.6357 27.6216
1.9370 25.6703
1.7091 25.1745
1.4786 25.1479
2.1981 26.2697
1.0644 24.3295
1.4732 25.2755
2.0918 26.5271
2.6868 27.7059
1.0305 23.8438
1.5013 24.9624
1.1949 25.1242
1.9141 26.5483
1.1826 24.0287
1.0636 24.4004
1.0568 24.0897
1.3913 25.5465
0.4998 22.9066
0.6188 23.5671
