# log likelihood values for the three models given below.
# for the good model, ln(L) = -35.52
# for the bad model, ln(L) = -168.97
# for the worse model, ln(L) = -inf
#  lam  flam  ferr  flam_good  flam_bad  flam_worse
10820.000  6.024e-15  6.024e-16  6.244e-15  5.794e-15  5.708e-15
10830.000  6.267e-15  6.267e-16  6.226e-15  5.799e-15  5.443e-15
10840.000  6.411e-15  6.411e-16  6.229e-15  5.819e-15  5.812e-15
10850.000  6.034e-15  6.034e-16  6.242e-15  5.836e-15  6.207e-15
10860.000  6.282e-15  6.282e-16  6.256e-15  5.857e-15  5.999e-15
10870.000  6.602e-15  6.602e-16  6.268e-15  5.895e-15  5.496e-15
10880.000  6.295e-15  6.295e-16  6.292e-15  5.962e-15  5.684e-15
10890.000  6.164e-15  6.164e-16  6.357e-15  6.062e-15  6.352e-15
10900.000  6.402e-15  6.402e-16  6.460e-15  6.128e-15  6.792e-15
10910.000  6.766e-15  6.766e-16  6.531e-15  6.184e-15  6.745e-15
10920.000  6.660e-15  6.660e-16  6.591e-15  6.182e-15  6.331e-15
10930.000  6.424e-15  6.424e-16  6.578e-15  6.200e-15  5.768e-15
10940.000  6.528e-15  6.528e-16  6.579e-15  6.264e-15  5.922e-15
10950.000  6.860e-15  6.860e-16  6.640e-15  6.386e-15  6.677e-15
10960.000  6.630e-15  6.630e-16  6.735e-15  6.590e-15  7.374e-15
10970.000  7.233e-15  7.233e-16  6.945e-15  6.559e-15  7.623e-15
10980.000  6.999e-15  6.999e-16  6.951e-15  6.478e-15  7.523e-15
10990.000  6.478e-15  6.478e-16  6.848e-15  6.835e-15  7.105e-15
11000.000  7.371e-15  7.371e-16  7.165e-15  6.982e-15  6.423e-15
11010.000  7.400e-15  7.400e-16  7.437e-15  6.572e-15  5.753e-15
11020.000  6.985e-15  6.985e-16  7.012e-15  6.507e-15  5.981e-15
11030.000  6.557e-15  6.557e-16  6.854e-15  7.175e-15  6.768e-15
11040.000  7.573e-15  7.573e-16  7.456e-15  7.586e-15  7.536e-15
11050.000  8.491e-15  8.491e-16  8.029e-15  7.150e-15  7.870e-15
11060.000  7.743e-15  7.743e-16  7.597e-15  6.438e-15  7.996e-15
11070.000  6.080e-15  6.080e-16  6.880e-15  6.758e-15  7.969e-15
11080.000  7.015e-15  7.015e-16  6.993e-15  7.711e-15  7.802e-15
11090.000  8.356e-15  8.356e-16  8.030e-15  8.278e-15  7.484e-15
11100.000  8.823e-15  8.823e-16  8.634e-15  8.160e-15  6.858e-15
11110.000  8.925e-15  8.925e-16  8.603e-15  7.410e-15  6.075e-15
11120.000  8.173e-15  8.173e-16  7.944e-15  6.570e-15  5.421e-15
11130.000  6.473e-15  6.473e-16  6.942e-15  6.674e-15  5.704e-15
11140.000  6.450e-15  6.450e-16  7.021e-15  7.833e-15  6.687e-15
11150.000  8.210e-15  8.210e-16  8.095e-15  8.682e-15  7.487e-15
11160.000  9.479e-15  9.479e-16  9.083e-15  9.088e-15  7.999e-15
11170.000  9.744e-15  9.744e-16  9.574e-15  8.971e-15  8.205e-15
11180.000  9.706e-15  9.706e-16  9.515e-15  8.489e-15  8.270e-15
11190.000  9.251e-15  9.251e-16  9.001e-15  7.383e-15  8.268e-15
11200.000  8.137e-15  8.137e-16  7.921e-15  6.502e-15  8.334e-15
11210.000  6.567e-15  6.567e-16  6.886e-15  6.649e-15  8.387e-15
11220.000  6.021e-15  6.021e-16  6.864e-15  7.676e-15  8.286e-15
11230.000  8.270e-15  8.270e-16  7.921e-15  8.764e-15  8.073e-15
11240.000  9.292e-15  9.292e-16  9.102e-15  9.239e-15  7.801e-15
11250.000  9.538e-15  9.538e-16  9.698e-15  9.455e-15  7.422e-15
11260.000  1.020e-14  1.020e-15  9.949e-15  9.466e-15  6.699e-15
11270.000  1.012e-14  1.012e-15  9.963e-15  9.327e-15  5.888e-15
11280.000  9.945e-15  9.945e-16  9.831e-15  9.065e-15  5.595e-15
11290.000  9.721e-15  9.721e-16  9.576e-15  8.438e-15  6.200e-15
11300.000  9.377e-15  9.377e-16  8.964e-15  7.470e-15  7.060e-15
11310.000  7.978e-15  7.978e-16  7.960e-15  6.307e-15  7.633e-15
11320.000  6.366e-15  6.366e-16  6.762e-15  6.349e-15  7.968e-15
11330.000  5.858e-15  5.858e-16  6.518e-15  7.472e-15  8.196e-15
11340.000  7.635e-15  7.635e-16  7.661e-15  8.671e-15  8.392e-15
11350.000  8.921e-15  8.921e-16  8.830e-15  9.300e-15  8.423e-15
11360.000  1.007e-14  1.007e-15  9.681e-15  9.632e-15  8.367e-15
11370.000  1.008e-14  1.008e-15  1.008e-14  9.743e-15  8.298e-15
11380.000  1.045e-14  1.045e-15  1.023e-14  9.788e-15  8.118e-15
11390.000  1.032e-14  1.032e-15  1.027e-14  9.821e-15  7.637e-15
11400.000  1.030e-14  1.030e-15  1.031e-14  9.855e-15  6.710e-15
11410.000  1.039e-14  1.039e-15  1.035e-14  9.816e-15  6.552e-15
11420.000  1.049e-14  1.049e-15  1.032e-14  9.667e-15  7.296e-15
11430.000  1.020e-14  1.020e-15  1.017e-14  9.449e-15  8.048e-15
11440.000  9.988e-15  9.988e-16  9.928e-15  9.046e-15  8.303e-15
11450.000  9.853e-15  9.853e-16  9.516e-15  8.385e-15  8.336e-15
11460.000  8.964e-15  8.964e-16  8.911e-15  7.205e-15  8.265e-15
11470.000  7.768e-15  7.768e-16  7.708e-15  6.269e-15  8.098e-15
11480.000  6.047e-15  6.047e-16  6.712e-15  6.480e-15  7.696e-15
11490.000  6.353e-15  6.353e-16  6.746e-15  7.739e-15  6.799e-15
11500.000  8.085e-15  8.085e-16  7.767e-15  8.641e-15  5.409e-15
11510.000  8.902e-15  8.902e-16  8.948e-15  9.242e-15  4.604e-15
11520.000  9.569e-15  9.569e-16  9.538e-15  9.546e-15  5.293e-15
11530.000  1.011e-14  1.011e-15  9.938e-15  9.757e-15  6.488e-15
11540.000  1.070e-14  1.070e-15  1.017e-14  9.841e-15  7.467e-15
11550.000  1.021e-14  1.021e-15  1.030e-14  9.870e-15  7.972e-15
11560.000  1.028e-14  1.028e-15  1.033e-14  9.873e-15  8.254e-15
11570.000  1.008e-14  1.008e-15  1.032e-14  9.843e-15  8.408e-15
11580.000  1.051e-14  1.051e-15  1.029e-14  9.720e-15  8.463e-15
11590.000  1.040e-14  1.040e-15  1.018e-14  9.394e-15  8.453e-15
11600.000  9.534e-15  9.534e-16  9.797e-15  9.079e-15  8.477e-15
11610.000  9.335e-15  9.335e-16  9.387e-15  9.167e-15  8.525e-15
11620.000  9.276e-15  9.276e-16  9.398e-15  9.529e-15  8.571e-15
11630.000  9.925e-15  9.925e-16  9.827e-15  9.769e-15  8.615e-15
11640.000  1.025e-14  1.025e-15  1.018e-14  9.783e-15  8.641e-15
11650.000  1.035e-14  1.035e-15  1.022e-14  9.717e-15  8.650e-15
11660.000  1.025e-14  1.025e-15  1.016e-14  9.560e-15  8.630e-15
11670.000  1.015e-14  1.015e-15  1.003e-14  9.317e-15  8.587e-15
11680.000  9.867e-15  9.867e-16  9.773e-15  8.813e-15  8.548e-15
11690.000  9.398e-15  9.398e-16  9.349e-15  8.001e-15  8.537e-15
11700.000  8.933e-15  8.933e-16  8.428e-15  6.565e-15  8.606e-15
11710.000  6.891e-15  6.891e-16  7.156e-15  5.800e-15  8.677e-15
11720.000  5.079e-15  5.079e-16  5.941e-15  6.331e-15  8.651e-15
