#  z  dl_cm  age_gyr  dl_K_sum
0.1320  1.91480014e+27  1.17814e+01  39.788
0.1330  1.93054267e+27  1.17698e+01  39.801
0.1340  1.94630285e+27  1.17583e+01  39.815
0.1350  1.96208067e+27  1.17467e+01  39.828
0.1360  1.97787610e+27  1.17352e+01  39.841
0.1370  1.99368912e+27  1.17237e+01  39.853
0.1380  2.00951972e+27  1.17122e+01  39.866
0.1390  2.02536787e+27  1.17007e+01  39.878
0.1400  2.04123355e+27  1.16893e+01  39.891
0.1410  2.05711675e+27  1.16778e+01  39.903
0.1420  2.07301743e+27  1.16664e+01  39.915
0.1430  2.08893559e+27  1.16550e+01  39.926
0.1440  2.10487120e+27  1.16436e+01  39.938
0.1450  2.12082423e+27  1.16322e+01  39.950
0.1460  2.13679468e+27  1.16208e+01  39.961
0.1470  2.15278252e+27  1.16095e+01  39.972
0.1480  2.16878772e+27  1.15982e+01  39.983
0.1490  2.18481027e+27  1.15868e+01  39.994
0.1500  2.20085015e+27  1.15755e+01  40.005
0.1510  2.21690733e+27  1.15642e+01  40.016
0.1520  2.23298180e+27  1.15530e+01  40.027
0.1530  2.24907354e+27  1.15417e+01  40.037
0.1540  2.26518253e+27  1.15305e+01  40.048
0.1550  2.28130874e+27  1.15192e+01  40.058
0.1560  2.29745215e+27  1.15080e+01  40.069
0.1570  2.31361275e+27  1.14968e+01  40.079
0.1580  2.32979052e+27  1.14857e+01  40.089
0.1590  2.34598542e+27  1.14745e+01  40.100
0.1600  2.36219746e+27  1.14633e+01  40.110
0.1610  2.37842659e+27  1.14522e+01  40.120
0.1620  2.39467281e+27  1.14411e+01  40.130
0.1630  2.41093610e+27  1.14300e+01  40.140
0.1640  2.42721642e+27  1.14189e+01  40.150
0.1650  2.44351377e+27  1.14078e+01  40.160
0.1660  2.45982813e+27  1.13968e+01  40.170
0.1670  2.47615946e+27  1.13857e+01  40.180
0.1680  2.49250776e+27  1.13747e+01  40.190
0.1690  2.50887300e+27  1.13637e+01  40.200
